Symbol,Name,NumAppearances,Holders
NPN.JO,Naspers Ltd Class N,24,"[('FLZA', 0.177), ('AFK', 0.081), ('FDNI', 0.055), ('EMXF', 0.036), ('DMRE', 0.026)]"
COST,Costco Wholesale Corp,24,"[('FSTA', 0.065), ('FTXD', 0.061), ('JHMS', 0.059), ('GBLO', 0.052), ('XLP', 0.047)]"
IBM,International Business Machines Corp,24,"[('DJD', 0.086), ('TDIV', 0.08), ('WBIY', 0.06), ('RDIV', 0.052), ('GBDV', 0.046)]"
PEP,PepsiCo Inc,23,"[('IECS', 0.101), ('XLP', 0.096), ('FSTA', 0.081), ('JHMS', 0.056), ('KXI', 0.046)]"
PSA,Public Storage,23,"[('SPRE', 0.106), ('REZ', 0.102), ('ICF', 0.055), ('NURE', 0.052), ('GQRE', 0.051)]"
AMT,American Tower Corp,23,"[('SRVR', 0.151), ('SPRE', 0.135), ('VPN', 0.132), ('XLRE', 0.131), ('SCHH', 0.088)]"
SAN.PA,Sanofi SA,23,"[('FLFR', 0.061), ('HDEF', 0.043), ('SCHY', 0.037), ('FEZ', 0.034), ('VWID', 0.034)]"
ORCL,Oracle Corp,22,"[('IGV', 0.057), ('PKW', 0.052), ('ZIG', 0.048), ('TDIV', 0.039), ('VSMV', 0.036)]"
SQ,Square Inc A,22,"[('VFIN', 0.161), ('ARKF', 0.101), ('FINX', 0.088), ('DAPP', 0.083), ('IPAY', 0.066)]"
SHOP.TO,Shopify Inc A,22,"[('FDNI', 0.099), ('EWC', 0.085), ('HEWC', 0.085), ('FLCA', 0.081), ('BBCA', 0.072)]"
SIE.DE,Siemens AG,22,"[('DAX', 0.084), ('HEWG', 0.075), ('FLGR', 0.074), ('DBGR', 0.071), ('DXGE', 0.061)]"
PLD,Prologis Inc,22,"[('INDS', 0.149), ('SPRE', 0.125), ('REIT', 0.109), ('XLRE', 0.094), ('FPRO', 0.084)]"
GME,GameStop Corp Class A,22,"[('XSMO', 0.099), ('FTXD', 0.075), ('PSCD', 0.075), ('SFYF', 0.035), ('BUZZ', 0.031)]"
ALV.DE,Allianz SE,22,"[('DAX', 0.072), ('DXGE', 0.065), ('FLGR', 0.065), ('HEWG', 0.064), ('DBGR', 0.061)]"
DIS,The Walt Disney Co,22,"[('FCOM', 0.057), ('JHCS', 0.055), ('OOTO', 0.051), ('VPOP', 0.051), ('IEME', 0.049)]"
BIDU,Baidu Inc ADR,21,"[('CHIC', 0.1), ('FNGS', 0.1), ('LOUP', 0.051), ('ECON', 0.048), ('ARKQ', 0.045)]"
RY.TO,Royal Bank of Canada,21,"[('FLCA', 0.084), ('BBCA', 0.074), ('EWC', 0.074), ('HEWC', 0.074), ('IGRO', 0.03)]"
02318,Ping An Insurance (Group) Co. of China Ltd Class H,21,"[('CHIX', 0.087), ('FXI', 0.04), ('KESG', 0.04), ('ISEM', 0.039), ('KEJI', 0.033)]"
MRVL,Marvell Technology Inc,21,"[('FPX', 0.082), ('PXQ', 0.057), ('WUGI', 0.057), ('MID', 0.043), ('SOXQ', 0.041)]"
NET,Cloudflare Inc,21,"[('VCLO', 0.247), ('WCBR', 0.053), ('IPO', 0.048), ('CIBR', 0.037), ('IVES', 0.037)]"
EBAY,eBay Inc,21,"[('WBIG', 0.058), ('WBIF', 0.056), ('WBIL', 0.055), ('PKW', 0.053), ('BUL', 0.051)]"
AVGO,Broadcom Inc,21,"[('TDIV', 0.079), ('FTXL', 0.077), ('SOXQ', 0.077), ('USD', 0.066), ('SOXL', 0.058)]"
SEDG,SolarEdge Technologies Inc,21,"[('TAN', 0.1), ('ITEQ', 0.081), ('CTEC', 0.047), ('ERSX', 0.044), ('GRID', 0.042)]"
UPS,United Parcel Service Inc Class B,21,"[('TPOR', 0.066), ('XLI', 0.048), ('WBIG', 0.042), ('DUSL', 0.036), ('FIDU', 0.036)]"
NTES,NetEase Inc ADR,20,"[('CHIC', 0.102), ('HERO', 0.068), ('ESPO', 0.051), ('EWEB', 0.048), ('ECON', 0.045)]"
BHP.AX,BHP Group Ltd ADR,20,"[('PICK', 0.093), ('FLAU', 0.08), ('BATT', 0.061), ('IHDG', 0.059), ('IQDG', 0.058)]"
AMC,AMC Entertainment Holdings Inc Class A,20,"[('SFYF', 0.072), ('FNY', 0.037), ('VTWV', 0.016), ('FNX', 0.015), ('ISCV', 0.015)]"
NEE,NextEra Energy Inc,20,"[('UTES', 0.191), ('XLU', 0.161), ('IDU', 0.144), ('VPU', 0.139), ('FUTY', 0.138)]"
MSTR,MicroStrategy Inc Class A,20,"[('BLOK', 0.064), ('DAPP', 0.046), ('PSCT', 0.036), ('XSMO', 0.036), ('BLCN', 0.019)]"
OR.PA,L'Oreal SA,20,"[('FLFR', 0.056), ('HEDJ', 0.04), ('FEZ', 0.031), ('KXI', 0.028), ('JIG', 0.025)]"
