Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('IR', 'RCII')","('Ingersoll Rand Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('IR', 'MOS')","('Ingersoll Rand Inc', 'The Mosaic Co')",1,"[('BOUT', 0.057)]",New,New+1
"('CRL', 'MIME')","('Charles River Laboratories International Inc', 'Mimecast Ltd')",1,"[('BOUT', 0.061)]",New,New+1
"('MIME', 'MPWR')","('Mimecast Ltd', 'Monolithic Power Systems Inc')",1,"[('BOUT', 0.061)]",New,New+1
"('MIME', 'MSCI')","('Mimecast Ltd', 'MSCI Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('MIME', 'MXL')","('Mimecast Ltd', 'MaxLinear Inc')",1,"[('BOUT', 0.06)]",New,New+1
"('MIME', 'SCHW')","('Mimecast Ltd', 'Charles Schwab Corp')",1,"[('BOUT', 0.06)]",New,New+1
"('LECO', 'MIME')","('Lincoln Electric Holdings Inc', 'Mimecast Ltd')",1,"[('BOUT', 0.059)]",New,New+1
"('MIME', 'RCII')","('Mimecast Ltd', 'Rent-A-Center Inc')",1,"[('BOUT', 0.061)]",New,New+1
"('MIME', 'MOS')","('Mimecast Ltd', 'The Mosaic Co')",1,"[('BOUT', 0.059)]",New,New+1
"('CRL', 'MPWR')","('Charles River Laboratories International Inc', 'Monolithic Power Systems Inc')",1,"[('BOUT', 0.061)]",New,New+1
"('CRL', 'MSCI')","('Charles River Laboratories International Inc', 'MSCI Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('CRL', 'MXL')","('Charles River Laboratories International Inc', 'MaxLinear Inc')",1,"[('BOUT', 0.06)]",New,New+1
"('CRL', 'SCHW')","('Charles River Laboratories International Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.06)]",New,New+1
"('CRL', 'LECO')","('Charles River Laboratories International Inc', 'Lincoln Electric Holdings Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('CRL', 'RCII')","('Charles River Laboratories International Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.06)]",New,New+1
"('CRL', 'MOS')","('Charles River Laboratories International Inc', 'The Mosaic Co')",1,"[('BOUT', 0.058)]",New,New+1
"('MPWR', 'MXL')","('Monolithic Power Systems Inc', 'MaxLinear Inc')",1,"[('BOUT', 0.06)]",New,New+1
"('MPWR', 'SCHW')","('Monolithic Power Systems Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.06)]",New,New+1
"('LECO', 'MPWR')","('Lincoln Electric Holdings Inc', 'Monolithic Power Systems Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('MPWR', 'RCII')","('Monolithic Power Systems Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.06)]",New,New+1
"('MOS', 'MPWR')","('The Mosaic Co', 'Monolithic Power Systems Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('MSCI', 'MXL')","('MSCI Inc', 'MaxLinear Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('MSCI', 'SCHW')","('MSCI Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.058)]",New,New+1
"('LECO', 'MSCI')","('Lincoln Electric Holdings Inc', 'MSCI Inc')",1,"[('BOUT', 0.057)]",New,New+1
"('MSCI', 'RCII')","('MSCI Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('MOS', 'MSCI')","('The Mosaic Co', 'MSCI Inc')",1,"[('BOUT', 0.057)]",New,New+1
"('MXL', 'SCHW')","('MaxLinear Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.059)]",New,New+1
"('LECO', 'MXL')","('Lincoln Electric Holdings Inc', 'MaxLinear Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('MXL', 'RCII')","('MaxLinear Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.059)]",New,New+1
"('MOS', 'MXL')","('The Mosaic Co', 'MaxLinear Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('LECO', 'SCHW')","('Lincoln Electric Holdings Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.058)]",New,New+1
"('RCII', 'SCHW')","('Rent-A-Center Inc', 'Charles Schwab Corp')",1,"[('BOUT', 0.059)]",New,New+1
"('MOS', 'SCHW')","('The Mosaic Co', 'Charles Schwab Corp')",1,"[('BOUT', 0.057)]",New,New+1
"('LECO', 'RCII')","('Lincoln Electric Holdings Inc', 'Rent-A-Center Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('LECO', 'MOS')","('Lincoln Electric Holdings Inc', 'The Mosaic Co')",1,"[('BOUT', 0.057)]",New,New+1
"('MOS', 'RCII')","('The Mosaic Co', 'Rent-A-Center Inc')",1,"[('BOUT', 0.058)]",New,New+1
"('SSO', 'UWM')","('ProShares Ultra S&P500', 'ProShares Ultra Russell2000')",1,"[('FFHG', 0.102)]",New,New+1
"('SSO', 'XLP')","('ProShares Ultra S&P500', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.287)]",New,New+1
"('IJH', 'SSO')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra S&P500')",1,"[('FFHG', 0.29)]",New,New+1
"('IJR', 'SSO')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra S&P500')",1,"[('FFHG', 0.293)]",New,New+1
"('IVV', 'SSO')","('iShares Core S&P 500 ETF', 'ProShares Ultra S&P500')",1,"[('FFHG', 0.167)]",New,New+1
"('MVV', 'SSO')","('ProShares Ultra MidCap400', 'ProShares Ultra S&P500')",1,"[('FFHG', 0.099)]",New,New+1
"('UWM', 'XLP')","('ProShares Ultra Russell2000', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.29)]",New,New+1
"('IJH', 'UWM')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra Russell2000')",1,"[('FFHG', 0.292)]",New,New+1
"('IJR', 'UWM')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra Russell2000')",1,"[('FFHG', 0.296)]",New,New+1
"('IVV', 'UWM')","('iShares Core S&P 500 ETF', 'ProShares Ultra Russell2000')",1,"[('FFHG', 0.169)]",New,New+1
"('MVV', 'UWM')","('ProShares Ultra MidCap400', 'ProShares Ultra Russell2000')",1,"[('FFHG', 0.101)]",New,New+1
"('IJH', 'XLP')","('iShares Core S&P Mid-Cap ETF', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.478)]",New,New+1
"('IJR', 'XLP')","('iShares Core S&P Small-Cap ETF', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.481)]",New,New+1
"('IVV', 'XLP')","('iShares Core S&P 500 ETF', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.355)]",New,New+1
"('MVV', 'XLP')","('ProShares Ultra MidCap400', 'SPDR Select Sector Fund - Consu')",1,"[('FFHG', 0.287)]",New,New+1
"('IJH', 'MVV')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra MidCap400')",1,"[('FFHG', 0.289)]",New,New+1
"('IJR', 'MVV')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra MidCap400')",1,"[('FFHG', 0.293)]",New,New+1
"('IVV', 'MVV')","('iShares Core S&P 500 ETF', 'ProShares Ultra MidCap400')",1,"[('FFHG', 0.166)]",New,New+1
"('00016.HK', '01299.HK')","('Sun Hung Kai Properties Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.239)]",New,New+1
"('00016.HK', '00388.HK')","('Sun Hung Kai Properties Ltd', 'Hong Kong Exchanges and Clearing Ltd')",1,"[('FLHK', 0.172)]",New,New+1
"('00016.HK', '00669.HK')","('Sun Hung Kai Properties Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.082)]",New,New+1
"('00016.HK', '00027.HK')","('Sun Hung Kai Properties Ltd', 'Galaxy Entertainment Group Ltd')",1,"[('FLHK', 0.058)]",New,New+1
"('00002.HK', '00016.HK')","('CLP Holdings Ltd', 'Sun Hung Kai Properties Ltd')",1,"[('FLHK', 0.063)]",New,New+1
"('00003.HK', '00016.HK')","('Hong Kong and China Gas Co Ltd', 'Sun Hung Kai Properties Ltd')",1,"[('FLHK', 0.065)]",New,New+1
"('01113.HK', '01299.HK')","('CK Asset Holdings Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.231)]",New,New+1
"('00669.HK', '01299.HK')","('Techtronic Industries Co Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.252)]",New,New+1
"('00001.HK', '01299.HK')","('CK Hutchison Holdings Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.238)]",New,New+1
"('00027.HK', '01299.HK')","('Galaxy Entertainment Group Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.228)]",New,New+1
"('00002.HK', '01299.HK')","('CLP Holdings Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.232)]",New,New+1
"('00823.HK', '01299.HK')","('Link Real Estate Investment Trust', 'AIA Group Ltd')",1,"[('FLHK', 0.237)]",New,New+1
"('00003.HK', '01299.HK')","('Hong Kong and China Gas Co Ltd', 'AIA Group Ltd')",1,"[('FLHK', 0.234)]",New,New+1
"('00388.HK', '01113.HK')","('Hong Kong Exchanges and Clearing Ltd', 'CK Asset Holdings Ltd')",1,"[('FLHK', 0.164)]",New,New+1
"('00388.HK', '00669.HK')","('Hong Kong Exchanges and Clearing Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.185)]",New,New+1
"('00001.HK', '00388.HK')","('CK Hutchison Holdings Ltd', 'Hong Kong Exchanges and Clearing Ltd')",1,"[('FLHK', 0.171)]",New,New+1
"('00027.HK', '00388.HK')","('Galaxy Entertainment Group Ltd', 'Hong Kong Exchanges and Clearing Ltd')",1,"[('FLHK', 0.161)]",New,New+1
"('00002.HK', '00388.HK')","('CLP Holdings Ltd', 'Hong Kong Exchanges and Clearing Ltd')",1,"[('FLHK', 0.166)]",New,New+1
"('00388.HK', '00823.HK')","('Hong Kong Exchanges and Clearing Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.17)]",New,New+1
"('00003.HK', '00388.HK')","('Hong Kong and China Gas Co Ltd', 'Hong Kong Exchanges and Clearing Ltd')",1,"[('FLHK', 0.167)]",New,New+1
"('00669.HK', '01113.HK')","('Techtronic Industries Co Ltd', 'CK Asset Holdings Ltd')",1,"[('FLHK', 0.074)]",New,New+1
"('00027.HK', '01113.HK')","('Galaxy Entertainment Group Ltd', 'CK Asset Holdings Ltd')",1,"[('FLHK', 0.05)]",New,New+1
"('00002.HK', '01113.HK')","('CLP Holdings Ltd', 'CK Asset Holdings Ltd')",1,"[('FLHK', 0.055)]",New,New+1
"('00003.HK', '01113.HK')","('Hong Kong and China Gas Co Ltd', 'CK Asset Holdings Ltd')",1,"[('FLHK', 0.056)]",New,New+1
"('00001.HK', '00669.HK')","('CK Hutchison Holdings Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.081)]",New,New+1
"('00027.HK', '00669.HK')","('Galaxy Entertainment Group Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.071)]",New,New+1
"('00002.HK', '00669.HK')","('CLP Holdings Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.076)]",New,New+1
"('00669.HK', '00823.HK')","('Techtronic Industries Co Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.08)]",New,New+1
"('00003.HK', '00669.HK')","('Hong Kong and China Gas Co Ltd', 'Techtronic Industries Co Ltd')",1,"[('FLHK', 0.078)]",New,New+1
"('00001.HK', '00027.HK')","('CK Hutchison Holdings Ltd', 'Galaxy Entertainment Group Ltd')",1,"[('FLHK', 0.057)]",New,New+1
"('00001.HK', '00002.HK')","('CK Hutchison Holdings Ltd', 'CLP Holdings Ltd')",1,"[('FLHK', 0.062)]",New,New+1
"('00001.HK', '00823.HK')","('CK Hutchison Holdings Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.066)]",New,New+1
"('00001.HK', '00003.HK')","('CK Hutchison Holdings Ltd', 'Hong Kong and China Gas Co Ltd')",1,"[('FLHK', 0.064)]",New,New+1
"('00002.HK', '00027.HK')","('CLP Holdings Ltd', 'Galaxy Entertainment Group Ltd')",1,"[('FLHK', 0.052)]",New,New+1
"('00027.HK', '00823.HK')","('Galaxy Entertainment Group Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.056)]",New,New+1
"('00003.HK', '00027.HK')","('Hong Kong and China Gas Co Ltd', 'Galaxy Entertainment Group Ltd')",1,"[('FLHK', 0.053)]",New,New+1
"('00002.HK', '00823.HK')","('CLP Holdings Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.061)]",New,New+1
"('00003.HK', '00823.HK')","('Hong Kong and China Gas Co Ltd', 'Link Real Estate Investment Trust')",1,"[('FLHK', 0.063)]",New,New+1
"('LONN', 'NTLA')","('Lonza Group Ltd', 'Intellia Therapeutics Inc')",1,"[('HELX', 0.099)]",New,New+1
"('ILMN', 'NTLA')","('Illumina Inc', 'Intellia Therapeutics Inc')",1,"[('HELX', 0.107)]",New,New+1
"('MRNA', 'NTLA')","('Moderna Inc', 'Intellia Therapeutics Inc')",1,"[('HELX', 0.136)]",New,New+1
"('NTLA', 'RGEN')","('Intellia Therapeutics Inc', 'Repligen Corp')",1,"[('HELX', 0.12)]",New,New+1
