Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('MPWR', 'MXL')","('Monolithic Power Systems Inc', 'MaxLinear Inc')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('MPWR', 'SCHW')","('Monolithic Power Systems Inc', 'Charles Schwab Corp')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('MPWR', 'RCII')","('Monolithic Power Systems Inc', 'Rent-A-Center Inc')",0.06,"[('BOUT', 0.06)]",New,New+0.06
"('A', 'VEEV')","('Agilent Technologies Inc', 'Veeva Systems Inc Class A')",0.06,"[('HELX', 0.06)]",New,New+0.06
"('NVT.L', 'TKR')","('nVent Electric PLC', 'The Timken Co')",0.06,"[('VNMC', 0.06)]",New,New+0.06
"('SKX', 'TKR')","('Skechers USA Inc', 'The Timken Co')",0.06,"[('VNMC', 0.06)]",New,New+0.06
"('BGS', 'UVV')","('B&G Foods Inc', 'Universal Corp')",0.06,"[('XSHD', 0.06)]",New,New+0.06
"('GNL', 'VGR')","('Global Net Lease Inc', 'Vector Group Ltd')",0.06,"[('XSHD', 0.06)]",New,New+0.06
"('GNL', 'UVV')","('Global Net Lease Inc', 'Universal Corp')",0.06,"[('XSHD', 0.06)]",New,New+0.06
"('6951', 'WIX')","('Jeol Ltd', 'Wix.com Ltd')",0.059,"[('AIIQ', 0.059)]",New,New+0.059
"('CRL', 'IR')","('Charles River Laboratories International Inc', 'Ingersoll Rand Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('IR', 'MPWR')","('Ingersoll Rand Inc', 'Monolithic Power Systems Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('IR', 'MXL')","('Ingersoll Rand Inc', 'MaxLinear Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('IR', 'RCII')","('Ingersoll Rand Inc', 'Rent-A-Center Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('MIME', 'MSCI')","('Mimecast Ltd', 'MSCI Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('LECO', 'MIME')","('Lincoln Electric Holdings Inc', 'Mimecast Ltd')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('MIME', 'MOS')","('Mimecast Ltd', 'The Mosaic Co')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('CRL', 'MSCI')","('Charles River Laboratories International Inc', 'MSCI Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('CRL', 'LECO')","('Charles River Laboratories International Inc', 'Lincoln Electric Holdings Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('LECO', 'MPWR')","('Lincoln Electric Holdings Inc', 'Monolithic Power Systems Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
"('MOS', 'MPWR')","('The Mosaic Co', 'Monolithic Power Systems Inc')",0.059,"[('BOUT', 0.059)]",New,New+0.059
