Symbol,Name,SumWeights,DiffEntries,DiffValue
CR,Crane Co,0.0292,-19,0.0
INVA,Innoviva Inc,0.0291,-19,0.0
DMO,Western Asset Mortgage Opp Fund Inc,0.0291,-19,0.0
DSCT,Israel Discount Bank Ltd Class A,0.0291,-19,0.0
6947,Digi.com Bhd,0.0291,-19,0.0
C38U.SI,CapitaLand Integrated Commercial Trust,0.0291,-19,0.0
PFLT,PennantPark Floating Rate Capital Ltd,0.0291,-19,0.0
ETJ,EV Risk-Mgd Divers Equity Inc,0.029000001,-19,0.0
LE,Lands' End Inc,0.029000001,-19,0.0
ALO.PA,Alstom SA,0.029000001,-19,0.0
ENEV3.SA,Eneva SA,0.028900001,-19,0.0
LWSA3.SA,Locaweb Servicos de Internet SA Ordinary Shares,0.028900001,-19,0.0
2356.TW,Inventec Corp,0.028900001,-19,0.0
HYEM,VanEck Emerging Markets High Yi,0.028900001,-19,0.0
600809,Shanxi Xinghuacun Fen Wine Factory Co Ltd,0.028800001,-18,0.0
PHR,Phreesia Inc,0.0287,-18,0.0
PRU.L,Prudential PLC,0.0287,-18,0.0
NIND,National Industries Group Holding SAK,0.0287,-18,0.0
CSU.TO,Constellation Software Inc,0.0287,-18,0.0
APLS,Apellis Pharmaceuticals Inc,0.0287,-18,0.0
TMV.DE,TeamViewer AG Bearer Shares,0.0286,-18,0.0
JBLU,JetBlue Airways Corp,0.0286,-18,0.0
CRHC,Cohn Robbins Holdings Corp Ordinary Shares - Class A,0.0286,-18,0.0
XRX,Xerox Holdings Corp,0.028499998,-17,0.0
5168,Hartalega Holdings Bhd,0.028499998,-17,0.0
UNTR,United Tractors Tbk,0.028499998,-17,0.0
SKYW,SkyWest Inc,0.028499998,-17,0.0
EMHY,iShares J.P. Morgan EM High Yie,0.028499998,-17,0.0
PTTEP-R,PTT Exploration & Production PCL DR,0.028499998,-17,0.0
ECC,Eagle Point Credit Co LLC,0.028499998,-17,0.0
JD..L,JD Sports Fashion PLC,0.028399998,-17,0.0
CSIQ,Canadian Solar Inc,0.028399998,-17,0.0
TATN,Tatneft PJSC,0.028399998,-17,0.0
NWG.L,NatWest Group PLC,0.028399998,-17,0.0
AC.TO,Air Canada Class B,0.028399998,-17,0.0
