Symbol,Name,SumWeights,Holders
ESGU,iShares ESG Aware MSCI USA ETF,1.165,"[('EAOA', 0.443), ('EAOR', 0.333), ('EAOM', 0.222), ('EAOK', 0.167)]"
ENB.TO,Enbridge Inc,1.1630000000000003,"[('ENFR', 0.104), ('MLPX', 0.089), ('EINC', 0.083), ('GLIF', 0.082), ('TPYP', 0.078)]"
TM,Toyota Motor Corp ADR,1.1439999999999997,"[('EWJV', 0.091), ('CARZ', 0.081), ('DXJ', 0.056), ('BBJP', 0.05), ('HEWJ', 0.047)]"
NIO,NIO Inc ADR,1.1340000000000001,"[('KGRN', 0.109), ('PGJ', 0.106), ('QCLN', 0.099), ('FNI', 0.092), ('CHIQ', 0.073)]"
ABBV,AbbVie Inc,1.1330000000000002,"[('MJJ', 0.099), ('MJO', 0.099), ('FTXH', 0.079), ('IEIH', 0.057), ('WBIY', 0.057)]"
EQIX,Equinix Inc,1.129,"[('SRVR', 0.156), ('SPRE', 0.123), ('VPN', 0.119), ('REIT', 0.091), ('XLRE', 0.077)]"
VTI,Vanguard Total Stock Market ETF,1.129,"[('RPAR', 0.745), ('FFTG', 0.343), ('OCIO', 0.041)]"
WBSN21,WTI Crude Future June 21,1.122,"[('SCO', 0.665), ('UCO', 0.457)]"
JD,JD.com Inc ADR,1.107,"[('PGJ', 0.083), ('EWEB', 0.077), ('ARKQ', 0.07), ('CHIQ', 0.067), ('KWEB', 0.062)]"
WFC,Wells Fargo & Co,1.0940000000000003,"[('KBWB', 0.083), ('DUSA', 0.062), ('DWLD', 0.061), ('DFNL', 0.058), ('IEFN', 0.049)]"
IEF,iShares 7-10 Year Treasury Bond,1.094,"[('TYD', 0.684), ('FAIL', 0.222), ('TDSA', 0.097), ('CPI', 0.05), ('BNDC', 0.041)]"
BISXX,BlackRock Cash Funds Instl SL Agency,1.084,"[('MBB', 0.184), ('EUSB', 0.131), ('IMTB', 0.129), ('EAGG', 0.121), ('IUSB', 0.111)]"
ULVR.L,Unilever PLC,1.071,"[('HEWU', 0.063), ('HEDJ', 0.061), ('FLGB', 0.056), ('IHDG', 0.056), ('IQDG', 0.055)]"
T,AT&T Inc,1.0630000000000002,"[('NVQ', 0.079), ('VLUE', 0.072), ('DEW', 0.051), ('SPVU', 0.051), ('GBLO', 0.049)]"
MRK,Merck & Co Inc,1.0550000000000004,"[('FTXH', 0.081), ('IEIH', 0.058), ('PJP', 0.057), ('PPH', 0.053), ('DJD', 0.051)]"
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,1.0410000000000004,"[('FLFR', 0.103), ('IHDG', 0.052), ('IQDG', 0.052), ('IMTM', 0.041), ('HEDJ', 0.04)]"
SQ,Square Inc A,1.0410000000000001,"[('VFIN', 0.161), ('ARKF', 0.101), ('FINX', 0.088), ('DAPP', 0.083), ('IPAY', 0.066)]"
RIO.L,Rio Tinto PLC,1.0390000000000001,"[('SLX', 0.146), ('FTRI', 0.098), ('PICK', 0.081), ('IDV', 0.077), ('IHDG', 0.066)]"
CCI,Crown Castle International Corp,1.0290000000000001,"[('SRVR', 0.147), ('VPN', 0.139), ('FPRO', 0.097), ('XLRE', 0.09), ('PSR', 0.067)]"
MA,Mastercard Inc A,1.0280000000000002,"[('LCG', 0.09), ('IPAY', 0.057), ('VNSE', 0.053), ('TPAY', 0.044), ('OPPX', 0.043)]"
VTWO,Vanguard Russell 2000 ETF,1.028,"[('RYLD', 1.028)]"
IWD,iShares Russell 1000 Value ETF,1.025,"[('RWVG', 0.972), ('TDSA', 0.053)]"
SAP.DE,SAP SE,1.0160000000000005,"[('DAX', 0.1), ('FLGR', 0.094), ('HEWG', 0.092), ('DBGR', 0.087), ('DXGE', 0.057)]"
TXN,Texas Instruments Inc,1.0070000000000003,"[('FTXL', 0.078), ('SOXQ', 0.077), ('USD', 0.061), ('SOXL', 0.058), ('SHE', 0.051)]"
CLN1,Light Sweet Crude Oil Future July 21,1.0,"[('OILK', 1.0)]"
MUB,iShares National Muni Bond ETF,1.0,"[('OVM', 1.0)]"
ZNM21,10 Year Treasury Note Future June 21,1.0,"[('RPAR', 1.0)]"
BND,Vanguard Total Bond Market ETF,0.9969999999999999,"[('BNDW', 0.475), ('MRSK', 0.19), ('HNDL', 0.115), ('FFTI', 0.104), ('GAA', 0.065)]"
IWM,iShares Russell 2000 ETF,0.996,"[('TNA', 0.662), ('SMCP', 0.12), ('TDSE', 0.107), ('SECT', 0.065), ('VEGA', 0.042)]"
NEM,Newmont Corp,0.9900000000000002,"[('RING', 0.218), ('GDX', 0.155), ('SGDM', 0.124), ('XLB', 0.054), ('SLVP', 0.053)]"
USHY,iShares Broad USD High Yield Co,0.988,"[('WBIT', 0.397), ('WBII', 0.205), ('SNUG', 0.198), ('DFHY', 0.188)]"
HYLB,Xtrackers USD High Yield Corpor,0.978,"[('WBIT', 0.393), ('FFTI', 0.19), ('DFHY', 0.182), ('WBII', 0.13), ('HNDL', 0.083)]"
QCOM,Qualcomm Inc,0.9760000000000002,"[('SOXQ', 0.081), ('SOXL', 0.061), ('USD', 0.055), ('WUGI', 0.054), ('FIVG', 0.052)]"
PEP,PepsiCo Inc,0.9740000000000002,"[('IECS', 0.101), ('XLP', 0.096), ('VDC', 0.082), ('FSTA', 0.081), ('IYK', 0.062)]"
VALE3.SA,Vale SA,0.9570000000000002,"[('EWZ', 0.19), ('FLBR', 0.155), ('FLLA', 0.105), ('DEM', 0.082), ('PICK', 0.064)]"
KO,Coca-Cola Co,0.9450000000000001,"[('IECS', 0.113), ('XLP', 0.099), ('VDC', 0.089), ('FSTA', 0.088), ('IYK', 0.063)]"
IWF,iShares Russell 1000 Growth ETF,0.94,"[('RWGV', 0.94)]"
NKE,Nike Inc B,0.9380000000000004,"[('IYK', 0.059), ('HART', 0.055), ('DIVO', 0.052), ('XLY', 0.044), ('MVP', 0.043)]"
LIN.L,Linde PLC,0.932,"[('XLB', 0.159), ('VAW', 0.122), ('FMAT', 0.121), ('DAX', 0.102), ('HEDJ', 0.065)]"
LLY,Eli Lilly and Co,0.9200000000000004,"[('PJP', 0.062), ('IEIH', 0.057), ('HART', 0.056), ('PPH', 0.051), ('XPH', 0.047)]"
TGT,Target Corp,0.9030000000000005,"[('SIXA', 0.042), ('FTXD', 0.041), ('SIXH', 0.04), ('VSMV', 0.038), ('GBLO', 0.036)]"
TMO,Thermo Fisher Scientific Inc,0.9000000000000002,"[('IHI', 0.123), ('MJJ', 0.099), ('MJO', 0.099), ('BUL', 0.052), ('VIRS', 0.052)]"
ZBU21,US Treasury Bond Future Sept 21,0.9,"[('IGHG', 0.566), ('FUT', 0.138), ('LGOV', 0.103), ('FTSD', 0.037), ('TTT', 0.029)]"
GCG22,Gold Future Feb 22,0.89,"[('DGL', 0.501), ('DBP', 0.389)]"
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,0.8750000000000002,"[('ADRE', 0.221), ('SMH', 0.141), ('FRDM', 0.071), ('GMF', 0.062), ('DMRE', 0.051)]"
AVGO,Broadcom Inc,0.8710000000000002,"[('TDIV', 0.079), ('FTXL', 0.077), ('SOXQ', 0.077), ('USD', 0.066), ('SOXL', 0.058)]"
DIS,The Walt Disney Co,0.8620000000000003,"[('VOX', 0.058), ('FCOM', 0.057), ('JHCS', 0.055), ('OOTO', 0.051), ('VPOP', 0.051)]"
SHOP.TO,Shopify Inc A,0.8610000000000001,"[('FDNI', 0.099), ('HEWC', 0.085), ('FLCA', 0.081), ('BBCA', 0.072), ('ARKF', 0.057)]"
ZFU21,5 Year Treasury Note Future Sept 21,0.8600000000000001,"[('CEFS', 0.333), ('HYHG', 0.277), ('ULTR', 0.116), ('LDUR', 0.059), ('LMBS', 0.043)]"
