Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
HSKA,Heska Corp,0.09,"[('MFMS', 0.061), ('DWAS', 0.016), ('XHE', 0.013)]",33,0.0
FISV,Fiserv Inc,0.09,"[('IPAY', 0.047), ('FINX', 0.043)]",33,0.0
VMW,VMware Inc,0.09,"[('IHAK', 0.04), ('SKYY', 0.034), ('SKYU', 0.016)]",33,0.0
JAZZ,Jazz Pharmaceuticals PLC,0.09,"[('NIFE', 0.047), ('TOKE', 0.043)]",33,0.0
WIT.BO,Wipro Ltd ADR,0.08900000000000001,"[('IPKW', 0.058), ('BICK', 0.016), ('LEGR', 0.015)]",33,0.0
PKX.KS,POSCO ADR,0.089,"[('SLX', 0.061), ('AADR', 0.028)]",33,0.0
SCC-R,Siam Cement PCL Units Non-Voting Depository Receipt,0.089,"[('THD', 0.059), ('ASEA', 0.03)]",33,0.0
000270.KS,Kia Corp,0.089,"[('CARZ', 0.04), ('MFEM', 0.025), ('EMGF', 0.024)]",33,0.0
CPZ,Calamos L/S Equity & Dynamic Inc Trust,0.089,"[('CEFS', 0.089)]",33,0.0
00291,China Resources Beer (Holdings) Co Ltd,0.089,"[('CHIS', 0.089)]",33,0.0
WRK,WestRock Co A,0.089,"[('CUT', 0.045), ('WOOD', 0.041), ('FSMD', 0.003)]",33,0.0
BSCL,Invesco BulletShares 2021 Corpo,0.089,"[('DRSK', 0.089)]",33,0.0
ALI,Ayala Land Inc,0.089,"[('EPHE', 0.089)]",33,0.0
TRUP,Trupanion Inc,0.089,"[('PAWZ', 0.049), ('XSMO', 0.023), ('PSCF', 0.015), ('EWSC', 0.002)]",33,0.0
PAWZ,ProShares Pet Care ETF,0.089,"[('TMAT', 0.089)]",33,0.0
ONLN,ProShares Online Retail ETF,0.089,"[('TMAT', 0.089)]",33,0.0
CLX,Clorox Co,0.08800000000000001,"[('RHS', 0.033), ('TMDV', 0.016), ('QDIV', 0.014), ('ONEY', 0.011), ('RBUS', 0.009)]",33,0.0
MTNN,MTN Nigeria Communications PLC Ordinary Shares,0.088,"[('NGE', 0.048), ('AFK', 0.04)]",33,0.0
IVN.TO,Ivanhoe Mines Ltd A,0.088,"[('COPX', 0.053), ('AFK', 0.035)]",33,0.0
FLL,Full House Resorts Inc,0.088,"[('BEDZ', 0.05), ('VICE', 0.038)]",33,0.0
VTV,Vanguard Value ETF,0.088,"[('OCIO', 0.048), ('GDMA', 0.04)]",33,0.0
DIVISLAB.B,Divi's Laboratories Ltd,0.088,"[('GLIN', 0.043), ('KMED', 0.023), ('NFTY', 0.022)]",33,0.0
GEB,Grupo Energia Bogota SA ESP,0.088,"[('GXG', 0.044), ('ICOL', 0.044)]",33,0.0
NUTRESA,Grupo Nutresa SA,0.088,"[('GXG', 0.044), ('ICOL', 0.044)]",33,0.0
DWX,SPDR S&P International Dividend,0.088,"[('INKM', 0.088)]",33,0.0
BMI,Badger Meter Inc,0.088,"[('TDV', 0.028), ('SIMS', 0.026), ('KSCD', 0.022), ('SMDV', 0.012)]",33,0.0
CHWY,Chewy Inc,0.088,"[('PAWZ', 0.088)]",33,0.0
NQH21,E-mini Nasdaq 100 Future Mar 21,0.086,"[('QID', 0.086)]",33,0.0
PWR,Quanta Services Inc,0.08500000000000002,"[('FLM', 0.033), ('AFLG', 0.012), ('DFAT', 0.009), ('SMLF', 0.008), ('DEUS', 0.006)]",33,0.0
LVMUY.PA,LVMH Moet Hennessy Louis Vuitton SE ADR,0.085,"[('AADR', 0.042), ('PTEU', 0.031), ('PTIN', 0.012)]",33,0.0
APPN,Appian Corp A,0.085,"[('ROBT', 0.03), ('AIEQ', 0.027), ('GURU', 0.022), ('XSW', 0.006)]",33,0.0
FEYE,FireEye Inc,0.085,"[('BUG', 0.048), ('HACK', 0.023), ('XITK', 0.014)]",33,0.0
TIPX,SPDR Bloomberg Barclays 1-10 Ye,0.085,"[('RLY', 0.085)]",33,0.0
EDD,MS Emerging Markets Domestic,0.08499999999999999,"[('RDFI', 0.055), ('ALTY', 0.03)]",33,0.0
CDNA,CareDx Inc,0.08499999999999999,"[('ARKG', 0.043), ('GNOM', 0.042)]",33,0.0
FFC,Flah&Crum Pref Securities Income,0.08499999999999999,"[('PAK', 0.043), ('DALT', 0.042)]",33,0.0
CSNA3.SA,Companhia Siderurgica Nacional,0.08499999999999999,"[('FLN', 0.039), ('FBZ', 0.032), ('FEM', 0.014)]",33,0.0
PDN.AX,Paladin Energy Ltd,0.08499999999999999,"[('URNM', 0.055), ('URA', 0.03)]",33,0.0
AGRO.SA,Adecoagro SA,0.084,"[('AGT', 0.042), ('ARGT', 0.042)]",33,0.0
ORCC,Owl Rock Capital Corp Ordinary Shares,0.084,"[('BIZD', 0.084)]",33,0.0
DJUN,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
DAPR,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
DMAR,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
DMAY,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
DFEB,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
DJAN,FT Cboe Vest U.S. Equity Deep B,0.084,"[('BUFD', 0.084)]",33,0.0
PAPR,Innovator U.S. Equity Power Buf,0.084,"[('BUFF', 0.084)]",33,0.0
PMAY,Innovator U.S. Equity Power Buf,0.084,"[('BUFF', 0.084)]",33,0.0
PMAR,Innovator U.S. Equity Power Buf,0.084,"[('BUFF', 0.084)]",33,0.0
PJAN,Innovator U.S. Equity Power Buf,0.084,"[('BUFF', 0.084)]",33,0.0
PFEB,Innovator U.S. Equity Power Buf,0.084,"[('BUFF', 0.084)]",33,0.0
SSPK,Silver Spike Acquisition Corp Ordinary Shares Class A,0.084,"[('CNBS', 0.084)]",33,0.0
096770.KS,SK Innovation Co Ltd,0.084,"[('CRAK', 0.062), ('MFEM', 0.018), ('JPIN', 0.004)]",33,0.0
IPO,Renaissance IPO ETF,0.084,"[('DUDE', 0.084)]",33,0.0
531642.BO,Marico Ltd,0.084,"[('INCO', 0.064), ('EMDV', 0.02)]",33,0.0
RHI,Robert Half International Inc,0.084,"[('LSAT', 0.036), ('OUSM', 0.027), ('SPDV', 0.021)]",33,0.0
AGR,Avangrid Inc,0.08399999999999999,"[('FXU', 0.043), ('DIVZ', 0.041)]",33,0.0
CEMEXCPO.M,Cemex SAB de CV,0.08399999999999999,"[('FLMX', 0.048), ('FLN', 0.036)]",33,0.0
8802,Mitsubishi Estate Co Ltd,0.08399999999999999,"[('IFGL', 0.023), ('WPS', 0.023), ('HAUZ', 0.019), ('VNQI', 0.019)]",33,0.0
TCS,TCS Group Holding PLC GDR Repr Class -A- Reg-S,0.08399999999999999,"[('RSX', 0.054), ('RFEM', 0.02), ('UEVM', 0.01)]",33,0.0
HTRB,Hartford Total Return Bond ETF,0.083,"[('HNDL', 0.083)]",33,0.0
9020,East Japan Railway Co,0.083,"[('INFR', 0.049), ('SDG', 0.034)]",33,0.0
TCEHY,Tencent Holdings Ltd ADR,0.083,"[('KNGS', 0.083)]",33,0.0
CWT,California Water Service Group,0.083,"[('PSCU', 0.083)]",33,0.0
CVNA,Carvana Co Class A,0.08299999999999999,"[('BUYZ', 0.031), ('AIEQ', 0.027), ('GVIP', 0.025)]",33,0.0
UU..L,United Utilities Group PLC,0.08299999999999999,"[('AQWA', 0.044), ('CGW', 0.039)]",33,0.0
00268,Kingdee International Software Group Co Ltd,0.08299999999999999,"[('CHIK', 0.047), ('CQQQ', 0.036)]",33,0.0
00392,Beijing Enterprises Holdings Ltd,0.08299999999999999,"[('CHIU', 0.046), ('FCA', 0.037)]",33,0.0
03988,Bank Of China Ltd Class H,0.08299999999999999,"[('CHIX', 0.074), ('UEVM', 0.009)]",33,0.0
JMAT.L,Johnson Matthey PLC,0.08299999999999999,"[('CTEC', 0.045), ('SDG', 0.038)]",33,0.0
SDAZ3,S&P 500 Annual Dividend Index Dec23,0.08299999999999999,"[('IDIV', 0.075), ('XDIV', 0.008)]",33,0.0
LOGN,Logitech International SA,0.082,"[('FSZ', 0.047), ('AADR', 0.035)]",33,0.0
WH,Wyndham Hotels & Resorts Inc Ordinary Shares,0.082,"[('BEDZ', 0.048), ('HDGE', 0.034)]",33,0.0
MAC,Macerich Co,0.082,"[('ROOF', 0.028), ('RDOG', 0.026), ('FYT', 0.01), ('PSC', 0.008), ('BLES', 0.005)]",33,0.0
00788,China Tower Corp Ltd Ordinary Shares - Class H,0.082,"[('CHIC', 0.042), ('VPN', 0.04)]",33,0.0
JNPR,Juniper Networks Inc,0.082,"[('IHAK', 0.038), ('CIBR', 0.029), ('QSY', 0.015)]",33,0.0
NUS,Nu Skin Enterprises Inc Class A,0.082,"[('FXG', 0.045), ('REGL', 0.019), ('DGRS', 0.018)]",33,0.0
PEO,Bank Polska Kasa Opieki SA,0.082,"[('EPOL', 0.049), ('FRDM', 0.033)]",33,0.0
2609.TW,Yang Ming Marine Transport Corp,0.082,"[('PIE', 0.048), ('FEMS', 0.022), ('EWX', 0.009), ('VSS', 0.003)]",33,0.0
FEMSAUBD.M,"Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)",0.082,"[('FLMX', 0.082)]",33,0.0
SCHC,Schwab International Small-Cap ,0.082,"[('QLS', 0.047), ('GDMA', 0.035)]",33,0.0
GSBD,Goldman Sachs BDC Inc,0.08199999999999999,"[('BIZD', 0.046), ('KBWD', 0.036)]",33,0.0
GPN,Global Payments Inc,0.08199999999999999,"[('TPAY', 0.043), ('IPAY', 0.039)]",33,0.0
SRPT,Sarepta Therapeutics Inc,0.081,"[('GNOM', 0.041), ('IDNA', 0.04)]",33,0.0
603501,Will Semiconductor Co Ltd Shanghai,0.081,"[('KFVG', 0.081)]",33,0.0
JJSF,J&J Snack Foods Corp,0.081,"[('PSCC', 0.06), ('KSCD', 0.021)]",33,0.0
MP,MP Materials Corp Ordinary Shares - Class A,0.081,"[('REMX', 0.048), ('SPAK', 0.018), ('SPXZ', 0.015)]",33,0.0
OGZD,Gazprom PJSC ADR,0.081,"[('RSX', 0.081)]",33,0.0
DSKY,Detskymir PJSC,0.081,"[('RSXJ', 0.081)]",33,0.0
DML.TO,Denison Mines Corp,0.081,"[('URNM', 0.046), ('URA', 0.035)]",33,0.0
SVT.L,Severn Trent PLC,0.08099999999999999,"[('AQWA', 0.045), ('CGW', 0.036)]",33,0.0
STRL,Sterling Construction Co Inc,0.08099999999999999,"[('CBLS', 0.051), ('CBSE', 0.03)]",33,0.0
01801,Innovent Biologics Inc,0.08099999999999999,"[('CHIH', 0.051), ('KURE', 0.03)]",33,0.0
SDAZ2,S&P 500 Annual Dividend Index Dec22,0.08099999999999999,"[('IDIV', 0.073), ('XDIV', 0.008)]",33,0.0
LXFR.L,Luxfer Holdings PLC,0.08,"[('CBLS', 0.05), ('CBSE', 0.03)]",33,0.0
BV,BrightView Holdings Inc,0.08,"[('CBLS', 0.046), ('CBSE', 0.034)]",33,0.0
STERV,Stora Enso Oyj Class R,0.08,"[('EFNL', 0.041), ('CUT', 0.039)]",33,0.0
KINV B,Kinnevik AB B,0.08,"[('FICS', 0.023), ('IMOM', 0.022), ('FEP', 0.011), ('DEEF', 0.009), ('IMFL', 0.008)]",33,0.0
CRDA.L,Croda International PLC,0.08,"[('EUDV', 0.024), ('PIZ', 0.024), ('EFAD', 0.016), ('RNDM', 0.016)]",33,0.0
MCY.NZ,Mercury NZ Ltd,0.08,"[('ENZL', 0.046), ('RNRG', 0.034)]",33,0.0
SRG.MI,Snam SpA,0.08,"[('FDD', 0.038), ('FLIY', 0.03), ('FDEV', 0.012)]",33,0.0
SRU.UN.TO,SmartCentres Real Estate Investment Trust Trust Units Variable Voting,0.08,"[('SRET', 0.039), ('FID', 0.022), ('WDIV', 0.019)]",33,0.0
BHARTIARTL,Bharti Airtel Ltd,0.08,"[('IXSE', 0.023), ('INDA', 0.02), ('PIN', 0.019), ('FLIN', 0.018)]",33,0.0
KREF,KKR Real Estate Finance Trust Inc,0.08,"[('HYIN', 0.032), ('XSHD', 0.032), ('MDIV', 0.016)]",33,0.0
WFCPQ,Wells Fargo & Co Deposit Shs Repr 1/1000th 5.85 % Non-Cum Perp Pfd Shs -A-,0.08,"[('PFFV', 0.041), ('PGF', 0.025), ('PGX', 0.014)]",33,0.0
SSA,Sistema PJSFC GDR,0.08,"[('RSXJ', 0.08)]",33,0.0
EREGL,Eregli Demir Ve Celik Fabrikalari TAS,0.08,"[('TUR', 0.08)]",33,0.0
AMCX,AMC Networks Inc A,0.079,"[('PSCU', 0.047), ('CALF', 0.021), ('EES', 0.008), ('IUSS', 0.003)]",33,0.0
00175,Geely Automobile Holdings Ltd,0.079,"[('CARZ', 0.048), ('MOTO', 0.031)]",33,0.0
ZTO,ZTO Express (Cayman) Inc ADR,0.079,"[('CHII', 0.079)]",33,0.0
603288,Foshan Haitian Flavouring and Food Co Ltd Class A,0.079,"[('CHIS', 0.031), ('RAYC', 0.027), ('CNYA', 0.011), ('KBA', 0.01)]",33,0.0
FIGXX,FidelityÂ® Inv MM Fds Government I,0.079,"[('LCR', 0.065), ('SMCP', 0.013), ('DFHY', 0.001)]",33,0.0
SJR.B.TO,Shaw Communications Inc Class B,0.079,"[('DWX', 0.027), ('FID', 0.019), ('WDIV', 0.017), ('FGD', 0.014), ('IDLB', 0.002)]",33,0.0
000568,Luzhou Laojiao Co Ltd,0.079,"[('KBUY', 0.05), ('GLCN', 0.029)]",33,0.0
507685.BO,Wipro Ltd,0.079,"[('GLIN', 0.055), ('NFTY', 0.024)]",33,0.0
PFDAVVNDA,Banco Davivienda SA Participating Preferred,0.079,"[('ICOL', 0.04), ('GXG', 0.039)]",33,0.0
TITAN.BO,Titan Co Ltd,0.079,"[('INCO', 0.079)]",33,0.0
OPI,Office Properties Income Trust,0.079,"[('KBWY', 0.047), ('XSHD', 0.032)]",33,0.0
