Bigram,Name,SumWeights
"('MC.PA', 'NESN')","('LVMH Moet Hennessy Louis Vuitton SE', 'Nestle SA')",1.3571999945000002
"('COP', 'EOG')","('ConocoPhillips', 'EOG Resources Inc')",1.3528000139999998
"('BAR', 'ZNM21')","('GraniteShares Gold Trust', '10 Year Treasury Note Future June 21')",1.3473000000000002
"('GOOGL', 'MA')","('Alphabet Inc A', 'Mastercard Inc A')",1.3447000104999998
"('AVB', 'PLD')","('AvalonBay Communities Inc', 'Prologis Inc')",1.3426999849999999
"('HOLD', 'AGPXX')","('AdvisorShares Sage Core Reserve', 'Invesco Shrt-Trm Inv Gov&Agcy Instl')",1.33919998
"('ULVR.L', 'NESN')","('Unilever PLC', 'Nestle SA')",1.3326000080000002
"('EQIX', 'CCI')","('Equinix Inc', 'Crown Castle International Corp')",1.3295999779999998
"('JNJ', 'MRK')","('Johnson & Johnson', 'Merck & Co Inc')",1.3228999995
"('DLR', 'EQIX')","('Digital Realty Trust Inc', 'Equinix Inc')",1.3185000050000002
"('ESGU', 'ESML')","('iShares ESG Aware MSCI USA ETF', 'iShares ESG Aware MSCI USA Smal')",1.314800012
"('MC.PA', 'ROG')","('LVMH Moet Hennessy Louis Vuitton SE', 'Roche Holding AG')",1.3100999903
"('02318', '09988')","('Ping An Insurance (Group) Co. of China Ltd Class H', 'Alibaba Group Holding Ltd Ordinary Shares')",1.305400005
"('GOOGL', 'UNH')","('Alphabet Inc A', 'UnitedHealth Group Inc')",1.3010000110000002
"('VEA', 'ZNM21')","('Vanguard FTSE Developed Markets', '10 Year Treasury Note Future June 21')",1.2962
"('IVV', 'IJR')","('iShares Core S&P 500 ETF', 'iShares Core S&P Small-Cap ETF')",1.2956999999999999
"('BABA', 'FB')","('Alibaba Group Holding Ltd ADR', 'Facebook Inc A')",1.278299999
"('EOG', 'CVX')","('EOG Resources Inc', 'Chevron Corp')",1.276400012
"('005930.KS', '03690')","('Samsung Electronics Co Ltd', 'Meituan')",1.276300007
"('FB', 'ADBE')","('Facebook Inc A', 'Adobe Inc')",1.271900001
"('VWO', 'VTI')","('Vanguard FTSE Emerging Markets ', 'Vanguard Total Stock Market ETF')",1.266100017
"('WEED.TO', 'TLRY.TO')","('Canopy Growth Corp', 'Aphria Inc')",1.26280002
"('AMT', 'PLD')","('American Tower Corp', 'Prologis Inc')",1.2620999915000002
"('BIDU', 'BABA')","('Baidu Inc ADR', 'Alibaba Group Holding Ltd ADR')",1.247799986
"('XLK', 'XLE')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Energ')",1.246600005
"('ZBU21', 'ZNU21')","('US Treasury Bond Future Sept 21', '10 Year Treasury Note Future Sept 21')",1.2459
"('03690', 'NIO')","('Meituan', 'NIO Inc ADR')",1.229700012
"('PXD', 'XOM')","('Pioneer Natural Resources Co', 'Exxon Mobil Corp')",1.2235999999999998
"('ULVR.L', 'ASML')","('Unilever PLC', 'ASML Holding NV ADR')",1.2210000015000002
"('NVDA', 'JPM')","('NVIDIA Corp', 'JPMorgan Chase & Co')",1.2179999980999998
"('GOOGL', 'HD')","('Alphabet Inc A', 'The Home Depot Inc')",1.2096000015000001
"('TSLA', 'BRK.B')","('Tesla Inc', 'Berkshire Hathaway Inc Class B')",1.2082000151000003
"('00700', 'JD')","('Tencent Holdings Ltd', 'JD.com Inc ADR')",1.2037999835
"('JD', '09988')","('JD.com Inc ADR', 'Alibaba Group Holding Ltd Ordinary Shares')",1.203000009
"('WMB', 'KMI')","('Williams Companies Inc', 'Kinder Morgan Inc Class P')",1.1987999870000001
"('NVDA', 'INTC')","('NVIDIA Corp', 'Intel Corp')",1.197499995
"('AMZN', 'NKE')","('Amazon.com Inc', 'Nike Inc B')",1.186099971
"('UNH', 'V')","('UnitedHealth Group Inc', 'Visa Inc Class A')",1.1856000046
"('TSLA', 'PYPL')","('Tesla Inc', 'PayPal Holdings Inc')",1.1835999929999999
"('BAC', 'WFC')","('Bank of America Corp', 'Wells Fargo & Co')",1.1789000219999999
"('NOVN', 'ASML')","('Novartis AG', 'ASML Holding NV ADR')",1.1761000010999998
"('GOOGL', 'BABA')","('Alphabet Inc A', 'Alibaba Group Holding Ltd ADR')",1.1731999979999999
"('SLB', 'XOM')","('Schlumberger Ltd', 'Exxon Mobil Corp')",1.1711999949999998
"('RELIANCE.B', '2330.TW')","('Reliance Industries Ltd Shs Dematerialised', 'Taiwan Semiconductor Manufacturing Co Ltd')",1.1692000104999998
"('JNJ', 'CSCO')","('Johnson & Johnson', 'Cisco Systems Inc')",1.167999993
"('ENB.TO', 'KMI')","('Enbridge Inc', 'Kinder Morgan Inc Class P')",1.162699989
"('TXN', 'AVGO')","('Texas Instruments Inc', 'Broadcom Inc')",1.1603000110000001
"('00700', 'NTES')","('Tencent Holdings Ltd', 'NetEase Inc ADR')",1.160199989
"('XLI', 'XLY')","('SPDR Select Sector Fund - Indus', 'SPDR Select Sector Fund - Consu')",1.158300024
"('SAP.DE', 'SIE.DE')","('SAP SE', 'Siemens AG')",1.1564000059999997
"('MPC', 'XOM')","('Marathon Petroleum Corp', 'Exxon Mobil Corp')",1.153800002
"('IVV', 'IJH')","('iShares Core S&P 500 ETF', 'iShares Core S&P Mid-Cap ETF')",1.15350002
"('JNJ', 'VZ')","('Johnson & Johnson', 'Verizon Communications Inc')",1.1477999952999998
"('2330.TW', 'VALE3.SA')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Vale SA')",1.14650001
"('NPN.JO', '00700')","('Naspers Ltd Class N', 'Tencent Holdings Ltd')",1.1440000089999998
"('AGPXX', 'SIF22')","('Invesco Shrt-Trm Inv Gov&Agcy Instl', 'Silver Future Jan 22')",1.1385000200000002
"('CRM', 'GOOGL')","('Salesforce.com Inc', 'Alphabet Inc A')",1.137999998
"('DLR', 'PLD')","('Digital Realty Trust Inc', 'Prologis Inc')",1.1340000049999999
"('XLK', 'XLV')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Healt')",1.133199989
"('HYG', 'JNK')","('iShares iBoxx $ High Yield Corp', 'SPDR Bloomberg Barclays High Yi')",1.130100024
"('VEA', 'VTI')","('Vanguard FTSE Developed Markets', 'Vanguard Total Stock Market ETF')",1.130099997
"('JD', '00700')","('JD.com Inc ADR', 'Tencent Holdings Ltd')",1.1274999980000002
"('JNJ', 'HD')","('Johnson & Johnson', 'The Home Depot Inc')",1.1239999960000002
"('TPIXX', 'PLD')","('State Street Instl Trs Pls MMkt Premier', 'Prologis Inc')",1.1227
"('AMZN', 'NFLX')","('Amazon.com Inc', 'Netflix Inc')",1.121400006
"('CRM', 'AMZN')","('Salesforce.com Inc', 'Amazon.com Inc')",1.121199991
"('FB', 'UNH')","('Facebook Inc A', 'UnitedHealth Group Inc')",1.1196000024999997
"('NOVO B', 'ROG')","('Novo Nordisk A/S B', 'Roche Holding AG')",1.117299996
"('GOOGL', 'NFLX')","('Alphabet Inc A', 'Netflix Inc')",1.110300008
"('SPY', 'FXFXX')","('SPDR S&P 500', 'First American Treasury Obligs X')",1.10519999
"('EQIX', 'TPIXX')","('Equinix Inc', 'State Street Instl Trs Pls MMkt Premier')",1.1041
"('SAP.DE', 'ROG')","('SAP SE', 'Roche Holding AG')",1.1000999942000003
"('BAR', 'VTI')","('GraniteShares Gold Trust', 'Vanguard Total Stock Market ETF')",1.0923
"('JNJ', 'V')","('Johnson & Johnson', 'Visa Inc Class A')",1.0912999976
"('ZNU21', 'CGBU21.TO')","('10 Year Treasury Note Future Sept 21', '10 Year Government of Canada Bond Future Sept 21')",1.0903999999999998
